REGION,EMISSION,YEAR,VALUE
RE1,EMIC02,2022,4.649422224238232e-06
RE1,EMIC02,2023,5.305784561650206e-06
RE1,EMIC02,2024,5.851241168932788e-06
RE1,EMIC02,2025,6.21366930133926e-06
RE1,EMIC02,2026,6.462243289522925e-06
RE1,EMIC02,2027,6.720796525407392e-06
RE1,EMIC02,2028,6.989555810076773e-06
RE1,EMIC02,2029,7.269201546783395e-06
RE1,EMIC02,2030,7.559960536611365e-06
RE1,EMIC02,2031,7.862286381728905e-06
RE1,EMIC02,2032,8.176632684304233e-06
RE1,EMIC02,2033,8.503679847589672e-06
RE1,EMIC02,2034,8.843881473753445e-06
RE1,EMIC02,2035,9.19769116496377e-06
RE1,EMIC02,2036,9.565562523388864e-06
RE1,EMIC02,2037,9.948175952281054e-06
RE1,EMIC02,2038,1.034598505380856e-05
RE1,EMIC02,2039,1.0759897032307816e-05
RE1,EMIC02,2040,1.1190365489947045e-05
RE1,EMIC02,2041,1.1638070829978568e-05
RE1,EMIC02,2042,1.210369345565472e-05
RE1,EMIC02,2043,1.2587913770227824e-05
RE1,EMIC02,2044,1.3091412176950208e-05
RE1,EMIC02,2045,1.361509588015831e-05
RE1,EMIC02,2046,1.4159645283104454e-05
RE1,EMIC02,2047,1.4725967590125082e-05
RE1,EMIC02,2048,1.5314970005556627e-05
RE1,EMIC02,2049,1.592755973373553e-05
RE1,EMIC02,2050,1.656464397899822e-05
RE1,EMIC02,2051,1.7227356746765253e-05
RE1,EMIC02,2052,1.7916378440288946e-05
RE1,EMIC02,2053,1.8632843064989853e-05
RE1,EMIC02,2054,1.9378111427372625e-05
RE1,EMICH4,2022,0.0
RE1,EMICH4,2023,0.0
RE1,EMICH4,2024,0.0
RE1,EMICH4,2025,0.0
RE1,EMICH4,2026,0.0
RE1,EMICH4,2027,0.0
RE1,EMICH4,2028,0.0
RE1,EMICH4,2029,0.0
RE1,EMICH4,2030,0.0
RE1,EMICH4,2031,0.0
RE1,EMICH4,2032,0.0
RE1,EMICH4,2033,0.0
RE1,EMICH4,2034,0.0
RE1,EMICH4,2035,0.0
RE1,EMICH4,2036,0.0
RE1,EMICH4,2037,0.0
RE1,EMICH4,2038,0.0
RE1,EMICH4,2039,0.0
RE1,EMICH4,2040,0.0
RE1,EMICH4,2041,0.0
RE1,EMICH4,2042,0.0
RE1,EMICH4,2043,0.0
RE1,EMICH4,2044,0.0
RE1,EMICH4,2045,0.0
RE1,EMICH4,2046,0.0
RE1,EMICH4,2047,0.0
RE1,EMICH4,2048,0.0
RE1,EMICH4,2049,0.0
RE1,EMICH4,2050,0.0
RE1,EMICH4,2051,0.0
RE1,EMICH4,2052,0.0
RE1,EMICH4,2053,0.0
RE1,EMICH4,2054,0.0
RE1,EMIN2O,2022,0.0
RE1,EMIN2O,2023,0.0
RE1,EMIN2O,2024,0.0
RE1,EMIN2O,2025,0.0
RE1,EMIN2O,2026,0.0
RE1,EMIN2O,2027,0.0
RE1,EMIN2O,2028,0.0
RE1,EMIN2O,2029,0.0
RE1,EMIN2O,2030,0.0
RE1,EMIN2O,2031,0.0
RE1,EMIN2O,2032,0.0
RE1,EMIN2O,2033,0.0
RE1,EMIN2O,2034,0.0
RE1,EMIN2O,2035,0.0
RE1,EMIN2O,2036,0.0
RE1,EMIN2O,2037,0.0
RE1,EMIN2O,2038,0.0
RE1,EMIN2O,2039,0.0
RE1,EMIN2O,2040,0.0
RE1,EMIN2O,2041,0.0
RE1,EMIN2O,2042,0.0
RE1,EMIN2O,2043,0.0
RE1,EMIN2O,2044,0.0
RE1,EMIN2O,2045,0.0
RE1,EMIN2O,2046,0.0
RE1,EMIN2O,2047,0.0
RE1,EMIN2O,2048,0.0
RE1,EMIN2O,2049,0.0
RE1,EMIN2O,2050,0.0
RE1,EMIN2O,2051,0.0
RE1,EMIN2O,2052,0.0
RE1,EMIN2O,2053,0.0
RE1,EMIN2O,2054,0.0
